animal,pronoun,response,age,gender
cat,it,"the cat paused at the suddenness of its reflection there at the edge, rippling out as the water darkened and deepened. Tentatively slapping at the surface and getting no reward other than the wet of the flowing body, it sat back on its haunches. It processed it's discovery, and then the cat turned back the way it came and said, ""I must go home.""",40s,female
bird,it,"It watched as the rain poured down, flooding the valley it once knew. ""I knew it,"" the bird thought, watching in horror as smaller, flightless animals got stuck under the current. This was not why it came to the river, though- the heavy rain had revealed many juicy worms for it to eat, so it had a feast.",,
pig,he,The pig was with four salmon who had made a similar journey. All he wanted to do was make some new friends.,,
dog,he,He sat and marveled at his journey. It was a long swim and he was tired and hungry. “I better find some food and fast!”,50s,male
dog,,the dog jumped into the river,40s,female
bear,he,"he saw God dancing on the river bank. As he caught a glimpse of God, God began to hide a tree, but it was too late. God then said, ""I can grant one wish for you, but you cannot tell anyone about today.""",20s,male
rabbit,he,"he went to the river. He called out to the turtle, and said, “What are you waiting for, coward?”",40s,female
rabbit,,"the rabbit was sad. There was hardly any water in the river, and what there was was muddy and smelled like burned hair. ""I must go to the ocean,"" said the rabbit.",50s,female
bird,,The bird dove into the water to seek the river pearl.,30s,female
pig,,The pig drank from the river.,20s,male
pig,he,"the pig stared into the water. The river’s current was rough, but he had to cross it. He began dragging his raft to the edge. ",20s,non-binary
cat,she,She scoured the surface of the water looking for any signs of distress.,30s,female
pig,he,the pig saw the current was too strong for him to swim across. So he set out to find a bridge.,20s,female
rabbit,they,they found a big leaf floating between some rocks in the shallow water. They hopped on and happily let themselves be carried downstream on their new leaf boat.,,
cat,it,"the cat approached the river bank and drank from the water before it let out a long meow. Over the next minute, hundreds of cats came out from behind the bushes fringing the bank and meowed back. ",20s,female
cat,it,"the cat observed its surroundings, drank some water, then went about its days.",20s,male
bird,,The bird perched on a low hanging branch and scanned the water for prey,,
bear,he,"he jumped in and said ""Brother, I just can't bear this heat!""",60+,male
rabbit,it,the rabbit washed its ears.,30s,male
dog,it,"the dog drank until it had its full, and then proceeded to throw up a mixture of grass and stomach acid. The dog took a long hard look at the vomit, got closer to inspect it with its nose, fought the urge to eat the grass vomit all over again, then turned around and headed back to the source.",40s,male
bear,he,He ate a fish. It was delicious.,40s,male
pig,he,he took a cool drink of water.,40s,female
pig,,The pig jumped in.,60+,female
cat,she,"the cat immediately started dipping her paws into the water, desperately trying to catch some fish to quell her hunger. She was bedraggled, and when some local fishermen saw her, they shooed her away. She scurried off, hiding behind trees until she could find a spot to try fishing again.",40s,female
mouse,he,"he sat down and took out his fishing pole. After catching a few fish, he packed up and went home.",30s,male
cat,she,the cat did not find what she was looking for and found herself instead.,40s,male
dog,,the dog found a great spot to watch the regatta.,50s,male
bird,,the bird landed on a branch and began to scour the water for prey from above.,20s,male
bear,he,the bear stood in the river facing upstream and grabbed salmon out of the water with his big mitten paws.,30s,female
pig,he,He looked around for signs of danger and with the sureness of safety he dove in.,30s,female
bird,,The bird saw a fish and was excited for lunch.,30s,female
rabbit,,The crocodile ate it.,40s,male
dog,he,"he watched the rushing water pensively. ""It was here that the victim was killed. Which means it could have only been one person.""",u20,female
pig,she,"the pig immersed herself in the soft silky mud of the riverbank. Rolling onto her back, she watched the clouds go by. ",30s,female
bird,,"the bird dove in, in search for fish. ",20s,female
mouse,he,He was unsure how to cross,20s,male
dog,he,"he jumped into the river to fetch the biggest, floating stick he could find. ",30s,male
rabbit,he,He ate fresh grass and drunk the river water,50s,female
dog,he,he had a good sniff around. He couldn't get the scent of the cat. It had escaped him... Perhaps it crossed the river?,30s,male
dog,,"the dog dipped a paw in and then fully jumped in the water, getting “wet wet” as the kiddos on social media would say. ",30s,male
bear,he,He waded in to the water to try and catch salmon,u20,non-binary
mouse,they,The mouse fashioned a small boat with leaves and twigs and then made their away across.,30s,female
pig,,"“To grab a drink and cool off a bit, before heading out again.” The pig looked around a moment, taking in the new scenery, and sighed. “I’m really doing this.”

",40s,female
mouse,she,The mouse saw a familiar face waiting for her.,,
rabbit,he,he jumped in for a swim.,40s,male
dog,,"The dog paddled in the river and got all muddy while barking at the ducks. The ducks were not impressed, but the dog had a great time.",,
bear,he,he was shocked to see the river had no water.,30s,female
bear,he,"he sat down and watched the water flow. He did not move until sunset, focusing on the little waves that formed around the rocks before him. Then, he got up, stretched his arms and his legs, jumped into river screaming ""Astronaut toothpaste!"". ",,
bird,he,he caught a fish with his beak and ate it.,u20,male
dog,,"the dog took a long, cool sip of water.",20s,female
rabbit,he,"he arched his back, letting the wind ripple through his hair, then gingerly leapt forward to the river’s edge. There, he dipped his whiskers into the water, surprised himself with a small but forceful sneeze, and collapsed contentedly onto his back to bask in the sun. He was asleep when the fox arrived.",,
bird,she,"the bird dipped her toe into the water and said, ""no way, José - I'm going to take a nap instead of a swim.""",50s,female
cat,,The cat turned around and left.,,
cat,it,it realised that the bank was closed as it was a sunday.,,
rabbit,he,"He saw a water dragon just below the surface and asked it if he could be granted a wish, to bring back his dead wife, long since eaten by a fox.",,
cat,she,she quenched her thirst and then proceeded to groom herself.,30s,male
